lon,lat,id,date,month,species
-73.42298817,-43.81801029,822,16/02/2004,2,blue_whale
-73.47349489,-44.05065967,822,01/03/2004,3,blue_whale
-73.40185326,-43.85984395,822,01/04/2004,4,blue_whale
-73.80417422,-43.62082254,828,20/02/2004,2,blue_whale
-74.57362085,-42.72350846,828,01/03/2004,3,blue_whale
-73.16719017,-43.6080949,828,01/04/2004,4,blue_whale
-73.56212497,-44.1146795,832,13/02/2004,2,blue_whale
-75.12148603,-44.37974261,832,01/03/2004,3,blue_whale
-73.53759415,-43.64678221,3040,19/02/2004,2,blue_whale
-73.55145511,-43.52700299,3040,01/03/2004,3,blue_whale
-74.2274357,-43.6805062,3040,01/04/2004,4,blue_whale
-73.41394683,-42.3327746,84481,09/04/2015,4,blue_whale
-81.13779704,-37.38217453,84481,01/05/2015,5,blue_whale
-83.0833363,-16.45582233,84481,01/06/2015,6,blue_whale
-73.13985023,-41.94071558,84484,17/04/2015,4,blue_whale
-73.11305847,-42.02687401,84484,01/05/2015,5,blue_whale
-73.1432064,-42.57083016,84484,01/06/2015,6,blue_whale
-82.06571216,-14.43306238,84484,01/07/2015,7,blue_whale
-91.70543375,-1.560149757,84484,01/08/2015,8,blue_whale
-90.50121541,-3.227684958,84484,01/09/2015,9,blue_whale
-73.3076016,-42.12948407,84485,13/04/2015,4,blue_whale
-73.06943655,-41.90770373,84485,01/05/2015,5,blue_whale
-73.17369966,-42.53633194,84494,16/04/2015,4,blue_whale
-75.34917929,-42.72982822,84494,01/05/2015,5,blue_whale
-79.63909739,-19.70343756,84494,01/06/2015,6,blue_whale
-73.18997162,-43.17402054,87759,01/04/2013,4,blue_whale
-73.85122126,-43.72673855,87759,01/05/2013,5,blue_whale
-73.29236676,-42.3219357,112696,09/04/2015,4,blue_whale
-73.20562462,-41.93777522,112719,10/04/2016,4,blue_whale
-72.78319405,-41.72542492,112719,01/05/2016,5,blue_whale
-73.6659348,-42.14535224,120948,14/04/2015,4,blue_whale
-87.96551633,-48.5686087,120948,01/05/2015,5,blue_whale
-94.47499855,-20.64264478,120948,01/06/2015,6,blue_whale
-103.7149983,-5.540045067,120948,01/07/2015,7,blue_whale
-73.51636811,-44.31102194,172007,04/02/2019,2,blue_whale
-74.19448511,-43.59052077,172007,01/03/2019,3,blue_whale
-74.44844516,-44.00627634,172007,01/04/2019,4,blue_whale
-73.18527141,-42.85674001,172007,01/05/2019,5,blue_whale
-73.5541287,-44.43941165,174067,04/02/2019,2,blue_whale
-73.38940826,-44.90732907,174067,01/03/2019,3,blue_whale
-73.31021997,-44.91496134,174067,01/04/2019,4,blue_whale
-72.97353389,-42.92963691,174068,28/04/2019,4,blue_whale
-73.05750109,-42.95235435,174068,01/05/2019,5,blue_whale
-73.16737027,-42.87351062,174068,01/06/2019,6,blue_whale
-73.50616652,-44.20189633,174070,09/02/2019,2,blue_whale
-73.62119748,-44.18668432,174070,01/03/2019,3,blue_whale
-73.32101062,-42.12817291,174070,01/04/2019,4,blue_whale
-29.26509005,37.398571,134235_segment0,14/05/2016,5,blue_whale
-28.45289672,38.64769374,134236_segment0,04/05/2016,5,blue_whale
-28.77743633,38.39170607,134237_segment0,19/05/2016,5,blue_whale
-29.27615797,41.05268407,134237_segment0,01/06/2016,6,blue_whale
-27.91145985,39.68449095,134238_segment0,23/05/2016,5,blue_whale
-28.2089789,41.74949899,134238_segment1,29/05/2016,5,blue_whale
-28.20028871,43.1468146,134238_segment1,01/06/2016,6,blue_whale
-22.63924571,44.16831779,134238_segment2,14/06/2016,6,blue_whale
-28.47275395,38.38842499,134239_segment0,14/06/2016,6,blue_whale
-29.45862026,38.65625003,134239_segment1,19/06/2016,6,blue_whale
-31.03515591,48.71442621,134239_segment1,01/07/2016,7,blue_whale
-123.1228,37.74437,1994CA-10823,14/09/1994,9,blue_whale
-120.4886,34.2377,1994CA-10828,01/10/1994,10,blue_whale
-120.123,34.23581,1995CA-00837,19/09/1995,9,blue_whale
-120.1923,34.12987,1995CA-00841,10/09/1995,9,blue_whale
-119.5063,33.37558,1995CA-04172,23/08/1995,8,blue_whale
-120.2351,32.26394,1995CA-04172,01/09/1995,9,blue_whale
-120.0999,34.15851,1995CA-04173,18/09/1995,9,blue_whale
-116.4447,31.32486,1995CA-04173,01/10/1995,10,blue_whale
-120.5961,34.04536,1995CA-04176,02/10/1995,10,blue_whale
-111.0035,23.35593,1995CA-04176,01/11/1995,11,blue_whale
-120.1005,34.15113,1995CA-23040,18/09/1995,9,blue_whale
-117.3073,32.58398,1995CA-23040,01/10/1995,10,blue_whale
-110.7609,22.89751,1995CA-23040,01/11/1995,11,blue_whale
-99.42752,12.46206,1995CA-23040,01/12/1995,12,blue_whale
-120.2017,34.14937,1995CA-23041,10/09/1995,9,blue_whale
-119.4002,33.30775,1995CA-23042,23/08/1995,8,blue_whale
-119.8517,33.62752,1995CA-23042,01/09/1995,9,blue_whale
-124.4123,41.90738,1998CA-00823,10/10/1998,10,blue_whale
-119.5717,32.6048,1998CA-00823,01/11/1998,11,blue_whale
-112.893,24.37947,1998CA-00823,01/12/1998,12,blue_whale
-114.3946,26.99796,1998CA-00824,14/03/1999,3,blue_whale
-123.7889,32.20759,1998CA-00824,01/04/1999,4,blue_whale
-122.4278,37.08495,1998CA-00826,12/08/1998,8,blue_whale
-121.0929,35.10916,1998CA-00826,01/09/1998,9,blue_whale
-119.2,33.1917,1998CA-00833,24/08/1998,8,blue_whale
-118.8149,33.10476,1998CA-00833,01/09/1998,9,blue_whale
-119.1982,33.1968,1998CA-04174,24/08/1998,8,blue_whale
-119.5503,33.37254,1998CA-04174,01/09/1998,9,blue_whale
-114.5824,25.49949,1998CA-04174,01/10/1998,10,blue_whale
-111.7083,22.87977,1998CA-04174,01/11/1998,11,blue_whale
-124.4696,41.82327,1998CA-04175,10/10/1998,10,blue_whale
-124.6546,40.40504,1998CA-04175,01/11/1998,11,blue_whale
-113.2281,23.39025,1998CA-04175,01/12/1998,12,blue_whale
-95.95871,9.077981,1998CA-10823,01/01/1999,1,blue_whale
-119.2291,32.89134,1998CA-10823,31/08/1998,8,blue_whale
-119.1291,32.90101,1998CA-10823,01/09/1998,9,blue_whale
-119.4356,33.39415,1998CA-10823,01/10/1998,10,blue_whale
-115.1159,27.77349,1998CA-10823,01/11/1998,11,blue_whale
-106.501,22.55241,1998CA-10823,01/12/1998,12,blue_whale
-120.1065,34.12236,1999CA-00830,21/07/1999,7,blue_whale
-120.0364,34.17087,1999CA-00830,01/08/1999,8,blue_whale
-119.9831,34.17437,1999CA-00834,29/07/1999,7,blue_whale
-119.3826,34.1632,1999CA-00834,01/08/1999,8,blue_whale
-121.0297,34.72402,1999CA-00834,01/09/1999,9,blue_whale
-121.3682,31.77396,1999CA-00834,01/10/1999,10,blue_whale
-113.6896,23.95788,1999CA-00834,01/11/1999,11,blue_whale
-119.9004,34.13007,1999CA-00837,01/08/1999,8,blue_whale
-120.1604,32.92832,1999CA-00837,01/09/1999,9,blue_whale
-123.4081,38.04738,1999CA-00837,01/10/1999,10,blue_whale
-109.6101,25.26585,1999CA-00838,01/01/2000,1,blue_whale
-111.2391,26.96205,1999CA-00838,01/02/2000,2,blue_whale
-108.9943,24.52986,1999CA-00838,01/03/2000,3,blue_whale
-113.3105,26.15278,1999CA-00838,01/04/2000,4,blue_whale
-111.6875,23.09297,1999CA-00838,01/05/2000,5,blue_whale
-120.6052,34.13641,1999CA-00838,02/10/1999,10,blue_whale
-121.0218,34.73231,1999CA-00838,01/11/1999,11,blue_whale
-111.976,23.93092,1999CA-00838,01/12/1999,12,blue_whale
-120.6004,34.05221,1999CA-02082,03/10/1999,10,blue_whale
-118.1302,31.39664,1999CA-02082,01/11/1999,11,blue_whale
-93.54689,8.341752,1999CA-04172,01/01/2000,1,blue_whale
-120.5993,34.03169,1999CA-04172,08/10/1999,10,blue_whale
-119.306,33.55338,1999CA-04172,01/11/1999,11,blue_whale
-105.3672,15.99671,1999CA-04172,01/12/1999,12,blue_whale
-112.2761,23.31,1999CA-04173,01/01/2000,1,blue_whale
-112.0597,23.69251,1999CA-04173,01/02/2000,2,blue_whale
-120.566,34.14498,1999CA-04173,02/10/1999,10,blue_whale
-112.1506,23.96705,1999CA-04173,01/11/1999,11,blue_whale
-111.7347,23.50865,1999CA-04173,01/12/1999,12,blue_whale
-112.3906,28.43363,1999CA-04176,01/01/2000,1,blue_whale
-114.153,30.12935,1999CA-04176,01/02/2000,2,blue_whale
-114.136,30.37086,1999CA-04176,01/03/2000,3,blue_whale
-114.5876,28.55535,1999CA-04176,01/04/2000,4,blue_whale
-112.937,24.67048,1999CA-04176,01/05/2000,5,blue_whale
-120.3859,34.10704,1999CA-04176,03/10/1999,10,blue_whale
-112.8661,21.94504,1999CA-04176,01/11/1999,11,blue_whale
-109.9735,21.71023,1999CA-04176,01/12/1999,12,blue_whale
-108.3001,24.49006,1999CA-10821,12/11/1999,11,blue_whale
-121.1867,35.61403,1999CA-10824,10/08/1999,8,blue_whale
-120.6538,34.17448,1999CA-10824,01/09/1999,9,blue_whale
-120.4356,33.99665,1999CA-10824,01/10/1999,10,blue_whale
-118.8697,22.52644,1999CA-10824,01/11/1999,11,blue_whale
-108.8076,24.74798,1999CA-23030,01/01/2000,1,blue_whale
-109.9369,25.40006,1999CA-23030,01/02/2000,2,blue_whale
-108.9178,23.33546,1999CA-23030,01/03/2000,3,blue_whale
-120.5839,34.01459,1999CA-23030,08/10/1999,10,blue_whale
-116.5463,30.88201,1999CA-23030,01/11/1999,11,blue_whale
-111.4848,23.21878,1999CA-23030,01/12/1999,12,blue_whale
-120.4,34.112,1999CA-23031,03/10/1999,10,blue_whale
-111.7856,24.50483,1999CA-23031,01/11/1999,11,blue_whale
-119.9944,34.12553,1999CA-23033,20/07/1999,7,blue_whale
-119.873,30.43832,1999CA-23033,01/08/1999,8,blue_whale
-120.1248,34.10966,1999CA-23038,22/07/1999,7,blue_whale
-121.0833,34.7303,1999CA-23038,01/08/1999,8,blue_whale
-120.5674,34.01842,1999CA-23038,01/09/1999,9,blue_whale
-120.1053,34.12069,1999CA-23043,22/07/1999,7,blue_whale
-120.6378,34.28583,1999CA-23043,01/08/1999,8,blue_whale
-122.6677,37.60173,1999CA-23043,01/09/1999,9,blue_whale
-122.8799,37.90638,1999CA-23043,01/10/1999,10,blue_whale
-114.8998,28.40547,1999CA-23043,01/11/1999,11,blue_whale
-116.5334,20.82403,1999CA-23043,01/12/1999,12,blue_whale
-110.7138,22.93085,2000CA-01386,01/01/2001,1,blue_whale
-98.18564,11.76988,2000CA-01386,01/02/2001,2,blue_whale
-123.0156,37.59237,2000CA-01386,05/10/2000,10,blue_whale
-124.6402,40.12169,2000CA-01386,01/11/2000,11,blue_whale
-115.7735,26.95161,2000CA-01386,01/12/2000,12,blue_whale
-94.446,8.908908,2000CA-01390,01/01/2001,1,blue_whale
-97.28863,8.37107,2000CA-01390,01/02/2001,2,blue_whale
-98.02193,9.012622,2000CA-01390,01/03/2001,3,blue_whale
-92.93156,9.170611,2000CA-01390,01/04/2001,4,blue_whale
-93.51288,8.813803,2000CA-01390,01/05/2001,5,blue_whale
-102.7099,15.87938,2000CA-01390,01/06/2001,6,blue_whale
-120.7893,33.75667,2000CA-01390,01/07/2001,7,blue_whale
-98.28315,10.47162,2000CA-01390,01/12/2000,12,blue_whale
-123.0002,37.61345,2000CA-10825,06/10/2000,10,blue_whale
-123.0012,37.60828,2000CA-10828,05/10/2000,10,blue_whale
-117.3219,29.98681,2000CA-10828,01/11/2000,11,blue_whale
-100.95778,10.129854,2000CA-10828,01/12/2000,12,blue_whale
-97.13279,9.278115,2000CA-10832,01/01/2001,1,blue_whale
-97.51634,8.141645,2000CA-10832,01/02/2001,2,blue_whale
-102.0426,9.419823,2000CA-10832,01/03/2001,3,blue_whale
-103.0727,7.066753,2000CA-10832,01/04/2001,4,blue_whale
-102.1909,7.908515,2000CA-10832,01/05/2001,5,blue_whale
-112.7313,25.19508,2000CA-10832,01/06/2001,6,blue_whale
-119.1577,33.75977,2000CA-10832,01/07/2001,7,blue_whale
-112.7783,24.59468,2000CA-10832,10/11/2000,11,blue_whale
-106.0674,15.24984,2000CA-10832,01/12/2000,12,blue_whale
-122.9866,37.54825,2000CA-23029,06/10/2000,10,blue_whale
-126.6155,34.34981,2000CA-23029,01/11/2000,11,blue_whale
-146.2032,34.61257,2000CA-23029,01/12/2000,12,blue_whale
-111.0293,25.82439,2001BCS-10831,26/03/2001,3,blue_whale
-110.7981,25.82755,2001BCS-10831,01/04/2001,4,blue_whale
-113.1296,26.17103,2001BCS-10831,01/05/2001,5,blue_whale
-107.0703,19.50258,2001BCS-10831,01/06/2001,6,blue_whale
-110.308,22.36873,2001BCS-10831,01/07/2001,7,blue_whale
-115.2449,27.8228,2001BCS-10831,01/08/2001,8,blue_whale
-115.4967,27.91105,2001BCS-10831,01/09/2001,9,blue_whale
